Participant,Seconds,angry,afraid,happy,sad,neutral
T051,447.0,,,,,
T051,448.0,,,,,
T051,449.0,,,,,
T051,450.0,,,,,
T051,451.0,,,,,
T051,452.0,,,,,
T051,453.0,,,,,
T051,454.0,,,,,
T051,455.0,,,,,
T051,456.0,,,,,
T051,457.0,,,,,
T051,458.0,,,,,
T051,459.0,,,,,
T051,460.0,,,,,
T051,461.0,,,,,
T051,462.0,,,,,
T051,463.0,,,,,
T051,464.0,,,,,
T051,465.0,,,,,
T051,466.0,,,,,
T051,467.0,,,,,
T051,468.0,,,,,
T051,469.0,,,,,
T051,470.0,,,,,
T051,471.0,,,,,
T051,472.0,,,,,
T051,473.0,,,,,
T051,474.0,,,,,
T051,475.0,,,,,
T051,476.0,,,,,
T051,477.0,,,,,
T051,478.0,,,,,
T051,479.0,,,,,
T051,480.0,,,,,
T051,481.0,,,,,
T051,482.0,,,,,
T051,483.0,,,,,
T051,484.0,,,,,
T051,485.0,,,,,
T051,486.0,,,,,
T051,487.0,,,,,
T051,488.0,,,,,
T051,489.0,,,,,
T051,490.0,,,,,
T051,491.0,,,,,
T051,492.0,,,,,
T051,493.0,,,,,
T051,494.0,,,,,
T051,495.0,,,,,
T051,496.0,,,,,
T051,497.0,,,,,
T051,498.0,,,,,
T051,499.0,,,,,
T051,500.0,,,,,
T051,501.0,,,,,
T051,502.0,,,,,
T051,503.0,,,,,
T051,504.0,,,,,
T051,505.0,,,,,
T051,506.0,,,,,
T051,507.0,,,,,
T051,508.0,,,,,
T051,509.0,,,,,
T051,510.0,,,,,
T051,511.0,,,,,
T051,512.0,,,,,
T051,513.0,,,,,
T051,514.0,,,,,
T051,515.0,,,,,
T051,516.0,,,,,
T051,517.0,,,,,
T051,518.0,,,,,
T051,519.0,,,,,
T051,520.0,,,,,
T051,521.0,,,,,
T051,522.0,,,,,
T051,523.0,,,,,
T051,524.0,,,,,
T051,525.0,,,,,
T051,526.0,,,,,
T051,527.0,,,,,
T051,528.0,,,,,
T051,529.0,,,,,
T051,530.0,,,,,
T051,531.0,,,,,
T051,532.0,,,,,
T051,533.0,,,,,
T051,534.0,,,,,
T051,535.0,,,,,
T051,536.0,,,,,
T051,537.0,,,,,
T051,538.0,,,,,
T051,539.0,,,,,
T051,540.0,,,,,
T051,541.0,,,,,
T051,542.0,,,,,
